tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1016424147356798976|07-09-2018|RT @hort4cy: Doing my duty today. Our local @usdafsa is a busy place today. #certify2018 https://t.co/QDBa5BdXeE|#certify2018||1|@hort4cy,@usdafsa|positive
1016423968184643584|07-09-2018|RT @BetcoCorp: A recent study from the @USDA shows that 97% of people who wash their hands are doing it wrong. 

Change your handwashing be?|||1|@BetcoCorp,@USDA|positive
1016423854707740673|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016423603573805056|07-09-2018|RT @sarasotaschools: LET'S EAT! Did you know, more than half of our students are eligible for free & reduced lunches? This summer, ALL Sara?|||1|@sarasotaschools|positive
1016422954635354113|07-09-2018|RT @arielwaldman: The Now: opportunistic detour while getting approval to apply for @USDA permits. https://t.co/UzTg6pHUT5|||1|@arielwaldman,@USDA|positive
1016422951724331008|07-09-2018|@Sheril_ @USDA @SecretarySonny It could of had urine in it. Or spit. Or pubic hair. This type of behavior by restau? https://t.co/XkMgiVf0Gn|||0|@Sheril_,@USDA,@SecretarySonny|positive
1016422793351716865|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
1016422459384516608|07-09-2018|@USDA https://t.co/0CWMMVW251 Hi click on & read through tweet after tweet after another till arrive at worded summ? https://t.co/D0D39lijt7|||0|@USDA|positive
1016421982517256195|07-09-2018|RT @NECornBoard: 31% of #Nebraska #Corn is silking compared to 13% last year at this time. @USDA https://t.co/pBPAkOPPb7|#Nebraska,#Corn||5|@NECornBoard,@USDA|positive
1016421813679685634|07-09-2018|@iamUSA69 @realDonaldTrump @federalreserve @POTUS @VP @GOP @hrw @USSenate @USDA @Interior @CIA I remember my first hashtag|||1|@iamUSA69,@realDonaldTrump,@federalreserve,@POTUS,@VP,@GOP,@hrw,@USSenate,@USDA,@Interior,@CIA|positive
1016421777281638400|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016421624361377792|07-09-2018|The Now: opportunistic detour while getting approval to apply for @USDA permits. https://t.co/UzTg6pHUT5|||1|@USDA|positive
1016421523681370112|07-09-2018|Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous? https://t.co/WyJhrDq4Qr|#foodwaste||2|@USDA,@SecretarySonny|positive
1016420875971723265|07-09-2018|RT @USDA: Learn about USDA #disaster assistance programs that might be right for you by completing 5 simple steps: https://t.co/36ffONmWRl?|#disaster||13|@USDA|positive
1016420576792141824|07-09-2018|RT @EggSafetyCenter: DYK hands need to be washed for a least 20 seconds to prevent cross-contamination after handling raw eggs or meat?  Le?|||1|@EggSafetyCenter|positive
1016420408147480578|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016420243781103616|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
1016420118572740609|07-09-2018|RT @NECornBoard: 31% of #Nebraska #Corn is silking compared to 13% last year at this time. @USDA https://t.co/pBPAkOPPb7|#Nebraska,#Corn||5|@NECornBoard,@USDA|positive
1016419400063299584|07-09-2018|RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw|#MondayMotivation||43|@USDA|positive
1016418956104667139|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016418709085143040|07-09-2018|Soil colleagues would love your underground perspective on this phenomenon; something to do with centuries of missi? https://t.co/zuctvTH8si|||0||positive
1016418652852293639|07-09-2018|Be sure to check out the latest Crop Progress Report released by the @USDA  and #NASS https://t.co/KiAmjuA1Vz|#NASS||0|@USDA|positive
1016418589794947072|07-09-2018|@peta @utmbhealth @USDA  https://t.co/nsC8dlDoQH|||0|@peta,@utmbhealth,@USDA|positive
1016418532769353735|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @R?|||10|@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman|positive
1016418493816819717|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @JeffSmalls @RepJa?|||9|@MinnesotaMiners,@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman,@JeffSmalls|positive
1016418467824664578|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @J?|||9|@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman|positive
1016418436992335873|07-09-2018|RT @MinnesotaMiners: @SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This is?|||11|@MinnesotaMiners,@SecretarySonny|positive
1016418391178010624|07-09-2018|RT @MinnesotaMiners: @POTUS @SecretarySonny @SecretaryZinke @SecretaryAcosta @USRepRickNolan @RepTomEmmer @RepTimWalz @RepErikPaulsen @RepJ?|||9|@MinnesotaMiners,@POTUS,@SecretarySonny,@SecretaryZinke,@SecretaryAcosta,@USRepRickNolan,@RepTomEmmer,@RepTimWalz,@RepErikPaulsen|positive
