tweetId|tweetDate|tweetText|hashTag|hashtagList|location|numberRetweets|userMentions_userName|attitude
1012345471032053760|06-28-2018|RT @wayneparent: DEADLINE JULY 3. Tell @USDA consumers want clear #GMO labels on ALL GMO food! #labelGMOs #righttoknow  https://t.co/nyxlKL?|#GMO,#labelGMOs,#righttoknow|#GMO,#labelGMOs,#righttoknow||2|@wayneparent,@USDA|positive
1012345422822690816|06-28-2018|RT @FishMaki: @senorrinhatch @SenJohnBarrasso @SenJohnHoeven @SenMikeLee @SteveDaines @lisamurkowski @SenatorEnzi @POTUS @SecretaryZinke @D?||||2|@FishMaki,@senorrinhatch,@SenJohnBarrasso,@SenJohnHoeven,@SenMikeLee,@SteveDaines,@lisamurkowski,@SenatorEnzi,@POTUS,@SecretaryZinke|positive
1012345411183538178|06-28-2018|RT @FishMaki: @SecretaryZinke @DOIDepSec @SecretaryRoss @SecretaryPerry @EPAScottPruitt @SecretarySonny @SecretaryAcosta @DonaldJTrump @amy?||||4|@FishMaki,@SecretaryZinke,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPAScottPruitt,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump|positive
1012345268153483265|06-28-2018|RT @FishMaki: @RepMcClintock @repdonyoung @RepStevePearce @RepWesterman @RepLaHood @RepWebster @RepDavidRouzer @RepJackBergman @RepLizChene?||||3|@FishMaki,@RepMcClintock,@repdonyoung,@RepStevePearce,@RepWesterman,@RepLaHood,@RepWebster,@RepDavidRouzer,@RepJackBergman|positive
1012345077904105472|06-28-2018|Look at that great crew #edamame2018 - immersion workshop in microbial metagenome analysis 
@KelloggBioStn? https://t.co/pTyDvef5xR|#edamame2018|#edamame2018||0|@KelloggBioStn|positive
1012345025756303360|06-28-2018|RT @USDA: The Senate is beginning the process of passing a #FarmBill, have a listen - https://t.co/q2wJmTz2We https://t.co/vib3Tmb2ad|#FarmBill|#FarmBill||21|@USDA|positive
1012344729902575618|06-28-2018|RT @NOAA: How hard have plants had it in the Southwest USA? Worst conditions in red. See this vegetation #drought response map by @DroughtC?|#drought|#drought||13|@NOAA|positive
1012344721249898496|06-28-2018|RT @ToTamTam: @Frisco_G @FreeKatoAndKleo @Eviljohna @ttgarby @BadAssKittyG @ChrisMurphyCT @DonCheadle @townofhamden @curtleng @USDA @AP @do?||||6|@ToTamTam,@Frisco_G,@FreeKatoAndKleo,@Eviljohna,@ttgarby,@BadAssKittyG,@ChrisMurphyCT,@DonCheadle,@townofhamden,@curtleng,@USDA,@AP|positive
1012344715763748864|06-28-2018|RT @GrowthEnergy: Thank you @SecretarySonny, @SenJoniErnst, and @ChuckGrassley for standing up for farm families and continuing to push for?||||929|@GrowthEnergy,@SecretarySonny,@SenJoniErnst,@ChuckGrassley|positive
1012344710818680833|06-28-2018|RT @GrowthEnergy: Thank you @SecretarySonny, @SenJoniErnst, and @ChuckGrassley for standing up for farm families and continuing to push for?||||929|@GrowthEnergy,@SecretarySonny,@SenJoniErnst,@ChuckGrassley|positive
1012344678681927681|06-28-2018|RT @USDA: Senators slowly wading through the #FarmBill process, have a listen - https://t.co/Kx25pSuD5p|#FarmBill|#FarmBill||11|@USDA|positive
1012344648449314819|06-28-2018|RT @ForbesPR: "What can we do to increase the competitiveness and unleash the innovation in the ag industry? I wake up every day focused on?||||2|@ForbesPR|positive
1012344581118144512|06-28-2018|Grains under pressure on the eve of #QuarterlyGrainStocks & #PlantedAcreage @USDA Reports 
#corn #soybean #wheat? https://t.co/ak5aGu7GnH|#QuarterlyGrainStocks,#PlantedAcreage,#corn,#soybean,#wheat|#QuarterlyGrainStocks,#PlantedAcreage,#corn,#soybean,#wheat||1|@USDA|positive
1012344544472584193|06-28-2018|RT @Unitedminingal: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @Je?||||4|@Unitedminingal,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman|positive
1012344529104572417|06-28-2018|RT @ToTamTam: @Frisco_G @FreeKatoAndKleo @Eviljohna @ttgarby @BadAssKittyG @ChrisMurphyCT @DonCheadle @townofhamden @curtleng @USDA @AP @do?||||6|@ToTamTam,@Frisco_G,@FreeKatoAndKleo,@Eviljohna,@ttgarby,@BadAssKittyG,@ChrisMurphyCT,@DonCheadle,@townofhamden,@curtleng,@USDA,@AP|positive
1012344451044446209|06-28-2018|RT @Unitedminingal: @POTUS @SecretarySonny @DOIDepSec @DOIPressSec @KMBenedetto @RepTomEmmer @RepGosar @RepWesterman @JeffSmalls @RepTipton?||||4|@Unitedminingal,@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@KMBenedetto,@RepTomEmmer,@RepGosar,@RepWesterman,@JeffSmalls,@RepTipton|positive
