tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName,,,,,,,,,,
1026976272566636544|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026976208570015750|08-07-2018|@SteveScalise @USDA Steve, your gaslighting is no longer working on your constituents. You are a disgrace and need to be removed.|||1|@SteveScalise,@USDA,,,,,,,,
1026976193466261507|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976172469612546|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026976169311264768|08-07-2018|RT @skeila: The n=1 diets for 1 month by @NutritionWonk (#LCHFdiet) @kcklatt (#LCHFVegan) & @AlanLevinovitz (#carnivorediet) need balance!?|#LCHFdiet,#LCHFVegan,#carnivorediet||8|@skeila,@NutritionWonk,@kcklatt,@AlanLevinovitz,,,,,
1026976138541850626|08-07-2018|@WhiteHouse @USDA How does the market potential of Morocco compare to that of China?,,,,,,,,,,
#JustWondering|#JustWondering||0|@WhiteHouse,@USDA,,,,,,,,,
1026976063749009408|08-07-2018|RT @skeila: The n=1 diets for 1 month by @NutritionWonk (#LCHFdiet) @kcklatt (#LCHFVegan) & @AlanLevinovitz (#carnivorediet) need balance!?|#LCHFdiet,#LCHFVegan,#carnivorediet||8|@skeila,@NutritionWonk,@kcklatt,@AlanLevinovitz,,,,,
1026976056899760129|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026976052978110466|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026976042559451138|08-07-2018|@SteveScalise @USDA You've made all of your rich friends happy. Now they can hide their money overseas, commit tax? https://t.co/cFfvavoIES|||3|@SteveScalise,@USDA,,,,,,,,
1026976015153856518|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026975997604724736|08-07-2018|@KnowYourObama @MoboHarv @WhiteHouse @USDA Bot this!!|||0|@KnowYourObama,@MoboHarv,@WhiteHouse,@USDA,,,,,,,
1026975994693865472|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026975935214624769|08-07-2018|RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?|#BetterOffNow||305|@SteveScalise,@USDA,,,,,,,,
1026975930500177922|08-07-2018|RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?|||733|@WhiteHouse,@USDA,,,,,,,,,
1026975696479027200|08-07-2018|@SteveScalise @USDA keep deluding yourself with these policies and you will permanently damage the US economy.,,,,,,,,,,
not? https://t.co/qKkrB5O7cq|||1|@SteveScalise,@USDA,,,,,,,,,
